POSTE;DATE;RR;DRR;TM;FXY;DXY;UM
75114001;20080501;0,2;29;10,7;9,0;210;75
75114001;20080502;0,0;0;13,2;3,2;200;69
75114001;20080503;0,0;0;17,9;3,6;90;57
75114001;20080504;0,0;0;19,0;4,1;50;54
75114001;20080505;0,0;0;18,4;6,3;60;44
75114001;20080506;0,0;0;18,6;5,4;60;53
75114001;20080507;0,0;0;20,1;5,0;100;51
75114001;20080508;0,0;0;20,6;6,7;150;51
75114001;20080509;0,0;0;19,6;5,4;180;53
75114001;20080510;0,0;0;21,5;5,1;30;47
75114001;20080511;0,0;0;21,5;5,4;50;41
75114001;20080512;0,0;0;20,7;5,0;60;47
75114001;20080513;0,0;0;21,6;5,9;30;43
75114001;20080514;19,6;395;19,7;6,0;140;64
75114001;20080515;0,0;47;17,0;4,0;190;76
75114001;20080516;2,8;236;17,4;5,2;170;73
75114001;20080517;9,6;98;15,2;5,4;270;81
75114001;20080518;0,0;40;13,6;6,1;30;79
75114001;20080519;0,0;0;12,9;6,3;40;62
75114001;20080520;0,0;0;14,3;5,9;20;57
75114001;20080521;0,0;0;16,1;4,3;30;52
75114001;20080522;0,0;0;17,0;4,0;140;55
75114001;20080523;0,0;0;18,3;4,2;130;55
75114001;20080524;1,8;163;18,2;6,1;150;74
75114001;20080525;3,0;205;17,9;4,5;110;73
75114001;20080526;4,4;358;16,3;4,7;180;85
75114001;20080527;24,4;899;15,7;5,0;230;94
75114001;20080528;0,0;0;18,0;7,1;200;75
75114001;20080529;0,8;112;18,0;2,9;100;78
75114001;20080530;0,0;0;18,9;5,0;360;76
75114001;20080531;0,0;0;16,8;3,5;10;77
75114001;20080601;0,8;42;18,3;3,7;80;76
75114001;20080602;1,8;186;18,7;4,1;170;81
75114001;20080603;2,2;314;15,2;6,0;240;85
75114001;20080604;0,0;0;15,6;4,2;350;75
75114001;20080605;0,0;140;16,6;4,6;360;57
75114001;20080606;0,0;48;14,8;5,6;310;67
75114001;20080607;0,0;205;15,4;5,4;340;68
75114001;20080608;0,0;0;16,8;5,1;350;75
75114001;20080609;0,0;0;21,6;6,2;10;65
75114001;20080610;0,0;0;22,1;6,3;20;61
75114001;20080611;0,0;7;17,9;6,4;360;62
75114001;20080612;5,6;195;14,4;8,2;310;74
75114001;20080613;0,0;0;14,4;3,9;350;59
75114001;20080614;0,0;0;15,7;5,1;250;58
75114001;20080615;0,4;33;14,3;4,8;230;69
75114001;20080616;0,0;5;16,1;4,3;90;65
75114001;20080617;0,0;0;17,9;4,7;330;51
75114001;20080618;0,0;0;18,2;6,0;200;56
75114001;20080619;3,6;136;17,5;6,6;210;76
75114001;20080620;0,0;0;19,6;5,2;240;68
75114001;20080621;0,4;73;22,7;4,7;180;67
75114001;20080622;0,0;8;22,7;6,7;310;70
75114001;20080623;0,0;10;18,7;5,1;310;55
75114001;20080624;0,0;5;23,2;3,6;190;63
75114001;20080625;0,0;0;21,8;5,0;290;61
75114001;20080626;0,0;0;19,9;5,0;320;53
75114001;20080627;0,0;10;18,9;5,0;270;66
75114001;20080628;0,0;0;21,3;4,4;260;67
75114001;20080629;0,0;0;20,6;5,3;340;64
75114001;20080630;0,0;0;20,4;3,7;350;56
75114001;20080701;0,0;0;24,7;5,0;190;54
75114001;20080702;5,6;196;20,5;4,9;240;79
75114001;20080703;0,2;25;17,6;9,8;240;70
75114001;20080704;0,2;11;18,5;4,5;140;58
75114001;20080705;2,8;142;19,3;5,4;210;66
75114001;20080706;0,0;0;18,2;7,5;210;59
75114001;20080707;2,0;172;16,2;8,6;220;75
75114001;20080708;1,4;93;16,2;7,0;250;75
75114001;20080709;0,0;0;19,1;6,1;190;69
75114001;20080710;0,0;46;21,7;7,4;250;66
75114001;20080711;0,4;43;19,2;6,1;250;67
75114001;20080712;0,2;7;16,5;5,8;310;67
75114001;20080713;0,4;31;16,1;5,8;340;61
75114001;20080714;0,0;0;18,7;4,1;320;57
75114001;20080715;0,0;0;21,4;5,4;310;61
75114001;20080716;0,0;0;18,8;5,2;310;68
75114001;20080717;0,0;11;18,6;5,0;310;60
75114001;20080718;0,0;0;18,9;5,7;240;64
75114001;20080719;0,0;0;19,7;7,1;240;67
75114001;20080720;0,0;0;16,7;7,0;320;62
75114001;20080721;0,0;0;16,3;5,8;330;57
75114001;20080722;0,0;0;19,4;4,5;310;52
75114001;20080723;0,0;0;22,0;4,3;80;51
75114001;20080724;0,0;0;23,4;5,6;80;44
75114001;20080725;21,2;322;21,9;3,8;240;64
75114001;20080726;0,0;5;21,4;4,4;240;72
75114001;20080727;0,4;45;23,8;3,8;60;61
75114001;20080728;5,2;98;25,0;6,2;260;65
75114001;20080729;0,0;0;21,5;4,5;200;64
75114001;20080730;0,0;0;24,7;3,1;90;59
75114001;20080731;0,0;45;26,1;5,3;240;64
75114001;20080801;0,0;0;20,1;5,5;250;63
75114001;20080802;1,2;82;19,3;6,2;190;77
75114001;20080803;7,8;186;20,9;7,0;210;80
75114001;20080804;0,0;0;20,2;5,9;250;66
75114001;20080805;0,0;0;22,7;4,1;170;60
75114001;20080806;30,6;195;25,5;3,7;150;59
75114001;20080807;16,4;242;20,0;7,1;200;83
75114001;20080808;1,2;29;18,3;5,8;280;78
75114001;20080809;0,0;35;19,9;5,3;240;66
75114001;20080810;0,0;54;19,1;6,0;210;77
75114001;20080811;4,8;180;18,9;4,0;250;67
75114001;20080812;0,2;3;19,8;8,5;250;67
75114001;20080813;0,0;0;18,4;9,3;240;61
75114001;20080814;2,4;60;16,8;4,5;230;69
75114001;20080815;0,0;0;18,1;4,4;20;61
75114001;20080816;0,0;0;18,7;5,2;240;60
75114001;20080817;0,0;0;18,6;5,3;230;64
75114001;20080818;0,2;0;20,1;7,1;210;65
75114001;20080819;3,0;68;18,4;7,0;240;72
75114001;20080820;0,0;0;17,9;5,8;240;69
75114001;20080821;3,2;177;18,3;5,4;240;77
75114001;20080822;21,2;587;16,3;3,3;310;92
75114001;20080823;0,0;0;16,1;5,4;310;70
75114001;20080824;2,4;340;15,5;4,8;200;83
75114001;20080825;0,0;0;18,3;3,6;240;74
75114001;20080826;0,0;0;18,5;3,5;330;78
75114001;20080827;0,0;0;18,7;4,0;320;74
75114001;20080828;0,0;0;18,1;3,6;320;73
75114001;20080829;0,0;0;18,7;4,3;70;75
75114001;20080830;0,0;0;22,0;3,7;100;69
75114001;20080831;0,0;10;21,8;6,3;220;71
75114001;20080901;0,8;99;18,4;5,4;210;70
75114001;20080902;2,0;157;17,3;7,3;210;80
75114001;20080903;1,0;267;14,1;5,5;210;85
75114001;20080904;0,2;164;14,9;5,5;200;79
75114001;20080905;2,4;415;17,2;8,1;200;84
75114001;20080906;1,0;115;17,7;8,0;210;64
75114001;20080907;0,0;15;16,5;6,1;210;74
75114001;20080908;0,0;0;16,1;4,0;150;71
75114001;20080909;0,2;52;18,5;7,7;210;76
75114001;20080910;0,0;0;20,1;5,0;200;79
75114001;20080911;6,6;227;19,4;5,4;280;81
75114001;20080912;0,0;0;15,7;4,7;260;77
75114001;20080913;0,0;15;14,9;6,6;360;77
75114001;20080914;0,0;0;15,3;4,9;350;65
75114001;20080915;0,0;0;13,4;4,6;10;67
75114001;20080916;0,0;0;13,3;4,5;50;64
75114001;20080917;0,0;0;12,4;6,1;60;60
75114001;20080918;0,0;0;11,7;4,0;30;67
75114001;20080919;0,0;0;13,1;5,5;360;64
75114001;20080920;0,0;0;13,9;6,2;30;59
75114001;20080921;0,0;0;13,3;6,1;50;56
75114001;20080922;0,0;0;13,7;5,5;40;68
75114001;20080923;1,6;325;13,0;4,9;10;77
75114001;20080924;0,0;0;14,5;4,1;50;76
75114001;20080925;0,0;0;15,1;5,5;40;72
75114001;20080926;0,0;0;14,1;6,8;40;61
75114001;20080927;0,0;0;14,6;4,6;50;56
75114001;20080928;0,0;0;14,2;2,5;350;64
75114001;20080929;0,0;0;13,1;5,0;310;75
75114001;20080930;0,8;375;12,3;6,7;240;82
75114001;20081001;0,6;26;14,3;8,3;240;73
75114001;20081002;2,8;119;10,5;7,9;300;74
75114001;20081003;1,2;76;8,8;7,5;330;78
75114001;20081004;0,8;117;10,3;5,9;200;67
75114001;20081005;0,6;448;13,5;10,0;200;82
75114001;20081006;0,4;155;15,6;5,0;240;79
75114001;20081007;11,0;351;16,7;5,7;180;83
75114001;20081008;0,0;0;13,9;5,0;340;77
75114001;20081009;0,0;0;12,3;4,1;350;77
75114001;20081010;0,0;0;13,3;3,7;180;81
75114001;20081011;0,2;0;13,2;3,1;150;89
75114001;20081012;0,0;0;15,2;4,0;190;82
75114001;20081013;0,0;0;17,9;5,0;210;77
75114001;20081014;0,0;0;15,6;4,1;320;74
75114001;20081015;1,6;;14,9;5,9;210;84
75114001;20081016;0,8;171;12,3;5,6;320;76
75114001;20081017;0,0;0;10,3;2,7;10;72
75114001;20081018;0,0;0;9,9;3,1;330;71
75114001;20081019;0,0;0;9,5;3,2;190;74
75114001;20081020;2,0;150;14,2;5,6;200;75
75114001;20081021;5,4;385;11,6;5,1;200;87
75114001;20081022;0,0;0;10,1;3,7;290;74
75114001;20081023;0,0;0;9,0;4,2;190;75
75114001;20081024;0,0;14;10,5;3,4;190;75
75114001;20081025;0,0;0;10,5;3,1;10;90
75114001;20081026;14,4;475;11,8;5,9;210;85
75114001;20081027;3,4;172;10,5;5,4;310;85
75114001;20081028;0,3;15;7,0;3,9;330;79
75114001;20081029;0,0;0;3,7;3,6;150;91
75114001;20081030;5,4;585;4,5;5,5;90;87
75114001;20081031;10,2;614;6,5;5,0;40;93
75114001;20081101;4,6;347;9,1;7,4;190;89
75114001;20081102;0,8;43;9,5;5,8;170;81
75114001;20081103;0,0;0;11,6;5,0;150;81
75114001;20081104;0,6;205;11,7;7,0;10;80
75114001;20081105;4,2;205;9,4;7,8;360;88
75114001;20081106;0,0;65;9,6;4,2;170;92
75114001;20081107;2,8;237;9,3;5,0;170;90
75114001;20081108;5,4;355;9,1;8,1;200;87
75114001;20081109;0,2;12;11,6;8,0;190;83
75114001;20081110;7,6;372;14,1;8,9;200;83
75114001;20081111;1,6;33;10,7;8,6;200;80
75114001;20081112;0,0;0;8,2;4,2;210;86
75114001;20081113;0,0;20;8,3;3,2;320;81
75114001;20081114;0,4;373;9,0;2,6;190;92
75114001;20081115;0,0;31;11,4;3,1;320;90
75114001;20081116;0,8;456;11,9;4,6;310;85
75114001;20081117;1,4;75;8,6;4,2;80;72
75114001;20081118;1,2;228;9,8;7,1;10;89
75114001;20081119;0,0;0;9,4;4,7;250;84
75114001;20081120;0,0;91;11,0;4,6;270;85
75114001;20081121;3,6;294;9,6;10,5;340;75
75114001;20081122;0,0;0;4,8;8,0;340;58
75114001;20081123;8,0;374;3,3;7,7;200;81
75114001;20081124;0,6;134;4,0;8,9;360;83
75114001;20081125;0,0;20;4,1;6,6;340;81
75114001;20081126;0,0;0;5,3;3,9;330;85
75114001;20081127;0,0;313;3,0;4,8;170;87
75114001;20081128;0,0;125;1,9;5,1;170;88
75114001;20081129;4,6;358;3,2;4,4;50;85
75114001;20081130;1,8;970;3,3;4,8;170;92
75114001;20081201;0,2;212;4,9;6,2;310;88
75114001;20081202;4,0;710;4,4;7,6;210;80
75114001;20081203;2,4;417;4,5;6,5;210;88
75114001;20081204;5,6;432;5,3;7,4;190;89
75114001;20081205;2,4;331;6,9;8,2;240;83
75114001;20081206;0,0;0;7,0;5,9;250;82
75114001;20081207;0,0;0;3,9;3,3;350;89
75114001;20081208;0,0;0;2,0;4,0;150;89
75114001;20081209;3,4;158;2,2;4,4;310;86
75114001;20081210;0,0;0;3,3;5,6;350;82
75114001;20081211;0,0;0;1,4;4,0;200;85
75114001;20081212;0,0;0;-0,9;5,3;150;90
75114001;20081213;4,6;495;0,6;6,1;150;86
75114001;20081214;1,0;253;4,3;4,7;10;90
75114001;20081215;0,0;0;2,3;6,2;10;88
75114001;20081216;0,0;17;0,8;4,9;350;93
75114001;20081217;2,0;379;3,0;4,3;340;91
75114001;20081218;0,6;193;6,0;4,6;250;91
75114001;20081219;0,0;0;8,2;5,2;310;81
75114001;20081220;0,0;0;9,7;5,9;240;83
75114001;20081221;0,0;0;10,1;4,2;250;80
75114001;20081222;0,2;380;9,6;3,1;290;86
75114001;20081223;0,0;0;8,4;4,5;40;84
75114001;20081224;0,0;6;5,2;5,0;30;86
75114001;20081225;0,0;0;5,9;6,8;50;77
75114001;20081226;0,0;0;1,8;8,3;50;61
75114001;20081227;0,0;0;0,1;5,8;50;68
75114001;20081228;0,0;0;-1,2;5,5;50;72
75114001;20081229;0,0;80;-1,1;4,4;80;76
75114001;20081230;3,0;288;0,4;3,6;50;82
75114001;20081231;0,0;0;1,8;4,5;10;85
75114001;20090101;0,0;90;0,6;4,0;10;89
75114001;20090102;0,0;160;-0,1;6,2;50;82
75114001;20090103;0,0;0;-0,5;6,3;50;78
75114001;20090104;0,0;180;-1,6;3,6;190;74
75114001;20090105;2,6;785;-0,6;5,4;40;84
75114001;20090106;0,0;210;-5,0;6,4;10;78
75114001;20090107;0,0;0;-3,4;5,2;10;68
75114001;20090108;0,0;0;-0,7;6,3;40;74
75114001;20090109;0,0;0;-3,8;3,0;100;72
75114001;20090110;0,0;0;-2,9;2,7;160;76
75114001;20090111;0,0;0;-1,5;3,7;170;77
75114001;20090112;2,0;200;2,1;4,8;170;78
75114001;20090113;0,6;245;4,5;4,3;190;84
75114001;20090114;1,4;149;4,2;4,0;170;89
75114001;20090115;0,0;0;3,1;4,9;150;81
75114001;20090116;0,0;0;3,3;4,4;190;87
75114001;20090117;9,6;260;7,2;7,5;210;92
75114001;20090118;8,0;410;7,0;10,0;210;81
75114001;20090119;3,6;221;7,7;9,0;240;82
75114001;20090120;0,0;45;3,8;5,7;200;86
75114001;20090121;0,8;270;2,4;4,9;170;92
75114001;20090122;9,8;910;5,8;7,9;190;94
75114001;20090123;7,0;240;8,1;11,2;260;82
75114001;20090124;0,0;0;4,3;6,2;360;82
75114001;20090125;0,8;303;4,5;6,0;160;84
75114001;20090126;0,0;0;4,7;3,2;210;91
75114001;20090127;0,0;0;3,8;4,4;290;89
75114001;20090128;0,0;0;2,4;3,6;180;83
75114001;20090129;0,0;0;0,5;4,3;120;84
75114001;20090130;0,0;0;1,9;5,9;110;78
75114001;20090131;0,0;0;1,6;6,1;90;72
75114001;20090201;1,8;240;0,0;6,7;50;66
75114001;20090202;7,6;780;1,3;4,9;40;91
75114001;20090203;0,0;0;-0,5;2,7;200;79
75114001;20090204;4,4;355;0,5;5,3;150;88
75114001;20090205;0,0;88;6,6;5,9;200;87
75114001;20090206;0,0;4;6,8;4,6;170;80
75114001;20090207;1,6;345;2,5;7,1;330;88
75114001;20090208;1,2;180;2,8;5,7;190;81
75114001;20090209;13,8;982;6,3;9,5;200;93
75114001;20090210;0,4;580;5,6;12,1;200;82
75114001;20090211;2,8;78;4,4;5,9;310;80
75114001;20090212;2,4;;3,3;6,3;350;75
75114001;20090213;0,8;380;1,9;5,6;350;91
75114001;20090214;0,0;0;2,3;5,8;10;72
75114001;20090215;0,0;180;2,9;3,0;280;65
75114001;20090216;0,4;65;6,7;4,8;320;82
75114001;20090217;0,0;720;8,0;7,0;320;87
75114001;20090218;0,0;270;5,5;5,4;10;83
75114001;20090219;0,0;0;4,1;2,6;250;60
75114001;20090220;0,0;0;7,6;3,6;320;80
75114001;20090221;0,0;0;7,2;3,7;280;80
75114001;20090222;0,0;25;7,8;5,6;310;84
75114001;20090223;0,2;342;7,7;4,6;340;82
75114001;20090224;0,6;51;6,6;4,5;360;78
75114001;20090225;0,0;0;6,4;2,4;110;69
75114001;20090226;0,0;0;6,9;3,9;290;79
75114001;20090227;0,0;0;6,0;3,6;290;89
75114001;20090228;0,0;0;8,3;4,2;60;84
75114001;20090301;0,0;0;9,0;5,0;210;82
75114001;20090302;0,0;0;8,3;4,5;320;72
75114001;20090303;1,0;180;7,1;6,8;210;69
75114001;20090304;8,8;347;4,8;9,5;180;83
75114001;20090305;0,0;0;2,8;5,3;340;85
75114001;20090306;0,0;0;5,5;6,7;320;69
75114001;20090307;0,0;0;6,7;4,2;210;78
75114001;20090308;1,8;275;8,6;8,1;280;79
75114001;20090309;0,4;87;7,1;7,0;250;69
75114001;20090310;5,2;280;8,8;8,6;240;79
75114001;20090311;0,2;40;8,2;5,2;360;67
75114001;20090312;0,2;85;9,9;5,7;240;77
75114001;20090313;0,0;0;9,9;3,5;200;73
75114001;20090314;0,0;5;9,8;5,7;290;74
75114001;20090315;0,0;0;10,1;4,9;360;68
75114001;20090316;0,0;0;10,4;4,4;30;69
75114001;20090317;0,0;0;11,5;5,0;50;69
75114001;20090318;0,0;0;11,3;4,5;40;53
75114001;20090319;0,0;0;10,7;6,7;40;44
75114001;20090320;0,0;0;8,1;5,5;40;45
75114001;20090321;0,0;0;8,0;4,5;10;38
75114001;20090322;0,0;0;7,4;6,1;20;70
75114001;20090323;2,2;158;9,4;9,9;320;72
75114001;20090324;0,2;74;6,5;8,8;340;64
75114001;20090325;1,0;176;7,9;9,8;290;73
75114001;20090326;2,4;388;8,7;7,2;210;81
75114001;20090327;2,0;295;8,9;6,4;240;72
75114001;20090328;5,6;92;7,3;7,7;250;77
75114001;20090329;0,0;0;6,9;5,4;360;67
75114001;20090330;0,0;0;7,8;5,1;40;51
75114001;20090331;0,0;0;9,9;6,7;30;53
75114001;20090401;0,0;0;11,5;7,3;40;55
75114001;20090402;0,0;0;13,6;4,9;360;62
75114001;20090403;0,0;0;13,4;4,4;250;74
75114001;20090404;0,0;0;11,5;5,6;230;72
75114001;20090405;0,0;0;12,6;3,5;310;68
75114001;20090406;7,2;384;15,3;8,6;230;59
75114001;20090407;0,2;127;12,3;4,6;210;72
75114001;20090408;1,6;406;10,7;6,9;200;87
75114001;20090409;0,0;0;15,7;7,1;150;67
75114001;20090410;0,0;28;15,7;7,7;170;63
75114001;20090411;6,6;594;14,9;5,9;180;68
75114001;20090412;0,0;0;14,8;5,0;350;80
75114001;20090413;0,0;0;14,2;4,4;310;76
75114001;20090414;0,6;25;16,4;3,9;190;72
75114001;20090415;0,2;100;16,0;8,7;160;66
75114001;20090416;0,0;5;12,4;3,3;230;74
75114001;20090417;0,0;0;12,5;5,9;320;68
75114001;20090418;4,8;873;10,5;3,9;340;89
75114001;20090419;0,2;14;12,6;4,6;360;78
75114001;20090420;0,0;0;14,7;6,6;10;70
75114001;20090421;0,0;0;14,3;6,7;350;66
75114001;20090422;0,0;0;14,3;4,6;360;61
75114001;20090423;0,0;0;13,9;3,7;30;45
75114001;20090424;0,0;4;14,0;5,7;100;49
75114001;20090425;0,4;241;11,0;4,9;160;74
75114001;20090426;0,4;58;12,1;3,5;190;78
75114001;20090427;12,4;369;11,1;7,5;190;75
75114001;20090428;7,2;124;8,9;5,6;230;85
75114001;20090429;0,2;70;10,5;4,4;30;81
75114001;20090430;0,0;0;13,3;3,5;150;68
75114001;20090501;0,0;0;15,4;7,8;310;65
75114001;20090502;0,0;0;14,1;3,8;310;73
75114001;20090503;0,0;0;12,0;5,1;340;73
75114001;20090504;0,0;0;12,0;4,9;330;58
75114001;20090505;0,0;0;12,8;4,2;250;78
75114001;20090506;0,0;0;13,4;5,6;250;73
75114001;20090507;0,0;7;17,5;4,3;290;70
75114001;20090508;0,0;0;14,6;6,5;240;66
75114001;20090509;1,8;122;13,8;3,2;90;77
75114001;20090510;2,4;233;16,0;5,0;150;80
75114001;20090511;24,8;485;14,5;6,2;40;90
75114001;20090512;0,0;65;15,2;5,7;50;85
75114001;20090513;10,0;187;17,3;4,5;290;86
75114001;20090514;10,2;481;15,3;4,1;200;91
75114001;20090515;2,6;108;12,8;6,8;240;79
75114001;20090516;7,4;606;13,0;6,3;190;83
75114001;20090517;0,8;307;12,4;6,2;160;86
75114001;20090518;0,6;15;13,5;7,8;250;74
75114001;20090519;0,0;5;15,0;4,3;220;71
75114001;20090520;0,0;0;17,8;2,8;70;65
75114001;20090521;0,0;0;18,1;5,0;360;67
75114001;20090522;0,0;0;15,8;4,6;340;56
75114001;20090523;0,4;80;18,1;5,3;100;61
75114001;20090524;0,0;0;22,9;4,3;20;67
75114001;20090525;7,4;100;23,5;8,0;220;75
75114001;20090526;2,2;74;14,7;8,0;310;77
75114001;20090527;0,0;170;13,4;7,0;240;70
75114001;20090528;0,0;20;15,7;4,3;290;84
75114001;20090529;0,0;0;18,2;5,8;50;62
75114001;20090530;0,0;0;18,8;7,7;40;47
75114001;20090531;0,0;0;19,0;6,7;50;61
75114001;20090601;0,0;0;20,7;6,8;20;62
75114001;20090602;0,0;0;19,5;6,7;10;59
75114001;20090603;0,0;0;17,9;5,7;10;62
75114001;20090604;0,0;0;14,7;5,4;30;58
75114001;20090605;0,2;80;14,8;5,5;60;54
75114001;20090606;7,2;465;12,5;5,1;50;75
75114001;20090607;1,6;138;13,4;6,7;200;77
75114001;20090608;11,6;470;12,8;4,3;180;89
75114001;20090609;1,4;114;15,3;7,6;200;83
75114001;20090610;11,4;438;14,6;7,0;240;87
75114001;20090611;0,0;0;16,2;5,6;250;65
75114001;20090612;0,0;28;17,9;3,2;200;65
75114001;20090613;0,0;0;21,0;3,0;140;64
75114001;20090614;10,2;65;22,9;4,5;290;68
75114001;20090615;12,4;515;16,2;4,7;310;88
75114001;20090616;0,0;0;17,3;4,7;260;69
75114001;20090617;0,0;0;20,5;4,3;200;61
